origin_zone_code,destination_zone_code,rate_per_kg
N1,N1,15.00
N1,N2,18.50
N1,E,23.00
N1,NE,30.00
N1,W1,22.50
N1,W2,24.00
N1,S1,26.50
N1,S2,28.00
N1,Central,20.00
N2,N1,18.50
N2,N2,15.00
N2,E,24.50
N2,NE,31.50
N2,W1,24.00
N2,W2,25.50
N2,S1,28.00
N2,S2,29.50
N2,Central,21.50
E,N1,23.00
E,N2,24.50
E,E,15.00
E,NE,22.00
E,W1,27.00
E,W2,28.50
E,S1,25.50
E,S2,27.00
E,Central,22.50
NE,N1,30.00
NE,N2,31.50
NE,E,22.00
NE,NE,18.00
NE,W1,34.00
NE,W2,35.50
NE,S1,32.50
NE,S2,34.00
NE,Central,29.50
W1,N1,22.50
W1,N2,24.00
W1,E,27.00
W1,NE,34.00
W1,W1,15.00
W1,W2,17.50
W1,S1,23.50
W1,S2,25.00
W1,Central,19.50
W2,N1,24.00
W2,N2,25.50
W2,E,28.50
W2,NE,35.50
W2,W1,17.50
W2,W2,15.00
W2,S1,22.00
W2,S2,23.50
W2,Central,21.00
S1,N1,26.50
S1,N2,28.00
S1,E,25.50
S1,NE,32.50
S1,W1,23.50
S1,W2,22.00
S1,S1,15.00
S1,S2,17.50
S1,Central,22.50
S2,N1,28.00
S2,N2,29.50
S2,E,27.00
S2,NE,34.00
S2,W1,25.00
S2,W2,23.50
S2,S1,17.50
S2,S2,15.00
S2,Central,24.00
Central,N1,20.00
Central,N2,21.50
Central,E,22.50
Central,NE,29.50
Central,W1,19.50
Central,W2,21.00
Central,S1,22.50
Central,S2,24.00
Central,Central,15.00
